species,subset,candidate_set,model,targets,P,U,panel_size,P_vs_U_concordance,average_precision,first_positive_rank_min,first_positive_rank_max,first_positive_rank_expected,reciprocal_rank,recovered_P_at_5,recall_at_5,known_positive_precision_at_5,EF_at_5,NDCG_at_5,target_success_at_5,recovered_P_at_10,recall_at_10,known_positive_precision_at_10,EF_at_10,NDCG_at_10,target_success_at_10,recovered_P_at_20,recall_at_20,known_positive_precision_at_20,EF_at_20,NDCG_at_20,target_success_at_20,total_P,total_U
arabidopsis,no_exact_TRAIN_DEV_endpoint,all_U,ipin_optimized,50,4.98,200.0,204.98,0.6734255555555556,0.1542141377580425,27.58,27.58,27.58,0.2938293283320266,0.62,0.12866666666666668,0.124,5.270666666666667,0.16425326225010775,0.38,0.94,0.18552380952380954,0.094,3.80447619047619,0.17057776675794167,0.48,1.26,0.23807936507936506,0.063,2.443793650793651,0.19343836903505335,0.58,249,10000
arabidopsis,no_exact_TRAIN_DEV_endpoint,all_U,ipin_tuna_31k,50,4.98,200.0,204.98,0.7047574603174604,0.14181508056393574,26.26,26.26,26.26,0.20818094773071136,0.54,0.11444444444444445,0.10800000000000003,4.685777777777778,0.12176970309337667,0.34,0.98,0.21533333333333335,0.09799999999999999,4.404666666666667,0.15546150610207538,0.5,1.52,0.30996825396825395,0.076,3.17568253968254,0.19541158617251328,0.62,249,10000
arabidopsis,no_exact_TRAIN_DEV_endpoint,all_U,tuna_retrained,50,4.98,200.0,204.98,0.719032857142857,0.1588782912144799,22.4,22.4,22.4,0.2666847798187521,0.68,0.14255555555555555,0.136,5.838222222222223,0.16061626673526738,0.38,1.12,0.2391111111111111,0.11199999999999999,4.894222222222222,0.18093996460177209,0.54,1.62,0.3239365079365079,0.081,3.320365079365079,0.21814728449867463,0.68,249,10000
arabidopsis,no_exact_TRAIN_DEV_endpoint,background,ipin_baseline,50,4.98,100.0,104.98,0.617896507936508,0.19627313399670857,18.7,18.7,18.7,0.3359383526155485,0.78,0.15274603174603174,0.156,3.210920634920635,0.1975333303237708,0.42,1.2,0.23263492063492064,0.12,2.4463492063492063,0.2050656650207997,0.58,1.86,0.36957142857142855,0.09299999999999999,1.9408571428571433,0.2585284305808577,0.74,249,5000
arabidopsis,no_exact_TRAIN_DEV_endpoint,background,ipin_optimized,50,4.98,100.0,104.98,0.6767479365079366,0.21888400902941377,13.9,13.9,13.9,0.3763393974985694,0.9,0.18952380952380954,0.18,3.970476190476191,0.23069465764829616,0.52,1.22,0.23385714285714282,0.122,2.460571428571429,0.22310970453929724,0.58,1.94,0.40390476190476193,0.09700000000000002,2.1165238095238097,0.2885217041110227,0.78,249,5000
arabidopsis,no_exact_TRAIN_DEV_endpoint,background,ipin_tuna_31k,50,4.98,100.0,104.98,0.7130868253968253,0.21947039933861834,12.92,12.92,12.92,0.29648466419974406,0.8,0.17777777777777778,0.16,3.715555555555556,0.19001034511150874,0.48,1.36,0.28307936507936504,0.136,2.966793650793651,0.2246076470378878,0.62,2.14,0.41357142857142853,0.10700000000000001,2.174857142857143,0.28334568717163716,0.76,249,5000
arabidopsis,no_exact_TRAIN_DEV_endpoint,background,tuna_retrained,50,4.98,100.0,104.98,0.7229180952380951,0.2471597738956025,11.5,11.5,11.5,0.35978493510472925,0.92,0.1942222222222222,0.184,4.068444444444445,0.23336884695169918,0.5,1.42,0.29074603174603175,0.142,3.049460317460318,0.24987040922090312,0.64,2.26,0.4544920634920635,0.113,2.3854603174603177,0.31808028208380607,0.76,249,5000
arabidopsis,no_exact_TRAIN_DEV_endpoint,matched,ipin_baseline,50,4.98,100.0,104.98,0.618746507936508,0.1890400000037799,18.7,18.7,18.7,0.2986954776266777,0.78,0.166968253968254,0.15600000000000003,3.49536507936508,0.18982545228853737,0.46,1.2,0.2281904761904762,0.12,2.401904761904762,0.19455332271064324,0.56,1.76,0.36471428571428577,0.08800000000000001,1.9115714285714287,0.24612087741387742,0.74,249,5000
arabidopsis,no_exact_TRAIN_DEV_endpoint,matched,ipin_optimized,50,4.98,100.0,104.98,0.6701031746031747,0.20558127675800628,14.68,14.68,14.68,0.35007839003921665,0.8,0.16952380952380952,0.16,3.5504761904761906,0.20599665935797265,0.46,1.22,0.25196825396825395,0.122,2.64168253968254,0.21665398876800598,0.62,2.0,0.41396825396825393,0.1,2.1698412698412697,0.2807875645506576,0.78,249,5000
arabidopsis,no_exact_TRAIN_DEV_endpoint,matched,ipin_tuna_31k,50,4.98,100.0,104.98,0.6964280952380955,0.21915207031582962,14.34,14.34,14.34,0.323829579754038,0.84,0.19400000000000003,0.168,4.048000000000001,0.20602742296881627,0.46,1.38,0.2995555555555556,0.13799999999999998,3.133555555555556,0.2340100732804395,0.62,2.08,0.4125238095238095,0.10399999999999998,2.166619047619048,0.28390264987488484,0.74,249,5000
arabidopsis,no_exact_TRAIN_DEV_endpoint,matched,tuna_retrained,50,4.98,100.0,104.98,0.7151476190476191,0.23895158454543058,11.9,11.9,11.9,0.36322258160822274,0.96,0.22011111111111112,0.19199999999999995,4.594222222222223,0.23913779448752542,0.56,1.54,0.3129365079365079,0.154,3.2833650793650797,0.25944296758722496,0.68,2.3,0.4676031746031746,0.115,2.453015873015873,0.3214376850566217,0.78,249,5000
arabidopsis,no_exact_any_model_TRAIN_DEV_endpoint,all_U,ipin_baseline,50,4.98,200.0,204.98,0.618321507936508,0.13210068297153277,36.4,36.4,36.4,0.2332957706275722,0.54,0.10585714285714286,0.10800000000000001,4.3422857142857145,0.13207507339835678,0.3,0.96,0.18496825396825398,0.09600000000000002,3.7953650793650797,0.14976345727703325,0.46,1.26,0.2433015873015873,0.06299999999999999,2.496015873015873,0.1734143638685039,0.58,249,10000
arabidopsis,no_exact_any_model_TRAIN_DEV_endpoint,all_U,ipin_optimized,50,4.98,200.0,204.98,0.6734255555555556,0.1542141377580425,27.58,27.58,27.58,0.2938293283320266,0.62,0.12866666666666668,0.124,5.270666666666667,0.16425326225010775,0.38,0.94,0.18552380952380954,0.094,3.80447619047619,0.17057776675794167,0.48,1.26,0.23807936507936506,0.063,2.443793650793651,0.19343836903505335,0.58,249,10000
arabidopsis,no_exact_any_model_TRAIN_DEV_endpoint,all_U,ipin_tuna_31k,50,4.98,200.0,204.98,0.7047574603174604,0.14181508056393574,26.26,26.26,26.26,0.20818094773071136,0.54,0.11444444444444445,0.10800000000000003,4.685777777777778,0.12176970309337667,0.34,0.98,0.21533333333333335,0.09799999999999999,4.404666666666667,0.15546150610207538,0.5,1.52,0.30996825396825395,0.076,3.17568253968254,0.19541158617251328,0.62,249,10000
arabidopsis,no_exact_any_model_TRAIN_DEV_endpoint,all_U,tuna_retrained,50,4.98,200.0,204.98,0.719032857142857,0.1588782912144799,22.4,22.4,22.4,0.2666847798187521,0.68,0.14255555555555555,0.136,5.838222222222223,0.16061626673526738,0.38,1.12,0.2391111111111111,0.11199999999999999,4.894222222222222,0.18093996460177209,0.54,1.62,0.3239365079365079,0.081,3.320365079365079,0.21814728449867463,0.68,249,10000
arabidopsis,no_exact_any_model_TRAIN_DEV_endpoint,background,ipin_baseline,50,4.98,100.0,104.98,0.617896507936508,0.19627313399670857,18.7,18.7,18.7,0.3359383526155485,0.78,0.15274603174603174,0.156,3.210920634920635,0.1975333303237708,0.42,1.2,0.23263492063492064,0.12,2.4463492063492063,0.2050656650207997,0.58,1.86,0.36957142857142855,0.09299999999999999,1.9408571428571433,0.2585284305808577,0.74,249,5000
arabidopsis,no_exact_any_model_TRAIN_DEV_endpoint,background,ipin_optimized,50,4.98,100.0,104.98,0.6767479365079366,0.21888400902941377,13.9,13.9,13.9,0.3763393974985694,0.9,0.18952380952380954,0.18,3.970476190476191,0.23069465764829616,0.52,1.22,0.23385714285714282,0.122,2.460571428571429,0.22310970453929724,0.58,1.94,0.40390476190476193,0.09700000000000002,2.1165238095238097,0.2885217041110227,0.78,249,5000
arabidopsis,no_exact_any_model_TRAIN_DEV_endpoint,background,ipin_tuna_31k,50,4.98,100.0,104.98,0.7130868253968253,0.21947039933861834,12.92,12.92,12.92,0.29648466419974406,0.8,0.17777777777777778,0.16,3.715555555555556,0.19001034511150874,0.48,1.36,0.28307936507936504,0.136,2.966793650793651,0.2246076470378878,0.62,2.14,0.41357142857142853,0.10700000000000001,2.174857142857143,0.28334568717163716,0.76,249,5000
arabidopsis,no_exact_any_model_TRAIN_DEV_endpoint,background,tuna_retrained,50,4.98,100.0,104.98,0.7229180952380951,0.2471597738956025,11.5,11.5,11.5,0.35978493510472925,0.92,0.1942222222222222,0.184,4.068444444444445,0.23336884695169918,0.5,1.42,0.29074603174603175,0.142,3.049460317460318,0.24987040922090312,0.64,2.26,0.4544920634920635,0.113,2.3854603174603177,0.31808028208380607,0.76,249,5000
arabidopsis,no_exact_any_model_TRAIN_DEV_endpoint,matched,ipin_baseline,50,4.98,100.0,104.98,0.618746507936508,0.1890400000037799,18.7,18.7,18.7,0.2986954776266777,0.78,0.166968253968254,0.15600000000000003,3.49536507936508,0.18982545228853737,0.46,1.2,0.2281904761904762,0.12,2.401904761904762,0.19455332271064324,0.56,1.76,0.36471428571428577,0.08800000000000001,1.9115714285714287,0.24612087741387742,0.74,249,5000
arabidopsis,no_exact_any_model_TRAIN_DEV_endpoint,matched,ipin_optimized,50,4.98,100.0,104.98,0.6701031746031747,0.20558127675800628,14.68,14.68,14.68,0.35007839003921665,0.8,0.16952380952380952,0.16,3.5504761904761906,0.20599665935797265,0.46,1.22,0.25196825396825395,0.122,2.64168253968254,0.21665398876800598,0.62,2.0,0.41396825396825393,0.1,2.1698412698412697,0.2807875645506576,0.78,249,5000
